time,date,file,func,line,serious_error,error,warning,msg,format_exception,phase,gnss_time,lat,lon,alt,alt_base_press,goal_lat,goal_lon,temp,press,camera_area,camera_order,camera_center_x,camera_center_y,camera_frame_size_x,camera_frame_size_y,motor_l,motor_r,goal_relative_x,goal_relative_y,goal_relative_angle_rad,goal_distance,accel_all_x,accel_all_y,accel_all_z,accel_line_x,accel_line_y,accel_line_z,mag_x,mag_y,mag_z,gyro_x,gyro_y,gyro_z,grav_x,grav_y,grav_z,euler_x,euler_y,euler_z,nmea
"213.354144434","2026-08-14 11:04:46.331959","/home/akatoki/SC-30/scripts/SC-30/2_phase/ijochi.py","abnormal_check","64","","","","ijochi detected: bno accel out of range","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"214.097374397","2026-08-14 11:04:47.075163","/home/akatoki/SC-30/scripts/SC-30/2_phase/motordrive.py","move","254","","","stacking detected","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"227.324202694","2026-08-14 11:05:00.302018","/home/akatoki/SC-30/scripts/SC-30/2_phase/motordrive.py","move","254","","","stacking detected","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
